Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
AMR Arquitectura,9,info@amrarquitectura.com,🆕 Sin Contactar,💴 <1M€,Arquitectos casas prefabricadas modulares con entramado madera ligero,"AMR ARQUITECTURA - Eco-Arquitectura construcción CASAS PREFABRICADAS MODULARES. Sistema: ENTRAMADO LIGERO MADERA. Sedes: Corbera de Llobregat (Barcelona), Villena (Alicante), Calasparra (Murcia). Fundada 2016. Servicios LLAVE EN MANO: Arquitectura, proyectos ejecutivos, construction management, certificados, construcción obra nueva. Viviendas unifamiliares personalizadas. Años experiencia sector construcción. Diseños medida adaptados presupuesto cliente plazos. Construcción sostenible eficiente energéticamente. Target: Clientes buscando vivienda unifamiliar personalizada sistema madera Barcelona/Alicante/Murcia.",✅ Buena,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏠 Micro (<5 empleados),672 823 813,"Corbera de Llobregat, Barcelona",amrarquitectura.com,,"Modular Madera, Prefabricadas, Sostenible",,,,"Madera, Residencial, Sostenible/Eco",,,,,
Modular Home Murcia,,,🆕 Sin Contactar,,Casas prefabricadas desde 57.231€. Servicio completo,,,⭐ Media,Murcia,,,,Murcia,modularhome.es,,,,,,,,,,,
Modular Home,20,info@modularhome.es,🆕 Sin Contactar,💵 5-10M€,Viviendas modulares,"EMPRESA 20 AÑOS (fundada 2004) - LÍDER NACIONAL casas prefabricadas hormigón. Sistema propio MH System® (premiado CDTI). LinkedIn: +110 empleados. Instagram: 27K followers (EXCELENTE presencia digital). Portfolio: +700 viviendas entregadas España + Portugal. Target: B2C residencial clase media-alta. Precios: Desde 400€/m2 (estructura) hasta 1600€/m2 (llave en mano Iconic). Especialización: Personalización Estandarizada - flexibilidad + control calidad. Tecnología: BIM, construcción industrializada 90% fábrica. I+D activo: biocompuestos cáñamo, geopoliméricos, eficiencia energética. Proyectos internacionales (Arabia Saudí). Trazabilidad completa producto. Servicio 360º + postventa. Delegaciones: Valencia, Barcelona, Madrid, más. FIT MODULORIA EXCELENTE: Gran empresa, presencia digital top, innovación, target profesional B2C sofisticado = Cliente ideal servicios AI automatización CRM/marketing.",🚀 Excelente,⭐ Media,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),900 102 368,Valencia (nacional),modularhome.es,,,https://linkedin.com/company/casas-modular-home,,https://instagram.com/modular_home,"Hormigón, Prefabricados",,,,,
Container House España,,info@roiting.com,🆕 Sin Contactar,,Casas modulares en contenedor. Proyecto y licencia incluidos,Container House España - En la web revisada solo aparece formulario (sin teléfono/email visibles). En la Política de Privacidad figura como responsable ROITING MARKETING ONLINE S.L.U. (NIF B98749500) con Tel. 913 135 289 y email mailto:info@roiting.com. No se encontraron redes sociales oficiales enlazadas desde las páginas revisadas.,,⭐ Media,Alicante,,,913 135 289,Alicante,containerhouseespana.com,,,,,,,,,,,
KuBox Modular,15,info@kuboxmodular.com,🆕 Sin Contactar,💴 <1M€,Viviendas modulares de contenedores reformados. Eco-friendly,"KUBOX MODULAR - Construcción modular con CONTENEDORES MARÍTIMOS reciclados. Tel: +34 679 01 53 68. Email: mailto:info@kuboxmodular.com. Web: http://kuboxmodular.com. Sede: San Cibrao das Viñas, Calle 14, 2, Ourense. Redes: Instagram, LinkedIn, Twitter/X. Divisiones: KUBOX LIVING (viviendas sostenibles Galicia/Asturias), KUBOX EVENT (stands/casetas eventos con transporte+montaje incluido), KUBOX BUSINESS (locales comerciales modulares). Contenedores marítimos reformados: robustez, resistencia clima adverso. Filosofía: calidad, sostenibilidad, adaptabilidad. Proceso integral planificación y gestión proyectos. Target: Viviendas eco-friendly, eventos, locales comerciales personalizados.",✅ Buena,⭐ Media,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),+34 679 01 53 68,"San Cibrao das Viñas, Ourense",kuboxmodular.com,,,,,,"Acero/Steel Frame, Prefabricados, Residencial",,,,,
OYRSA Modular,20,comunicacion@oyrsa.es,🆕 Sin Contactar,💴 <1M€,Casas modulares de diseño. Reformas. LOCAL Salamanca,LOCAL SALAMANCA. Construcción modular industrial.,⚠️ Regular,🔥 Alta,Salamanca,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),626 05 55 92,37003 Salamanca,oyrsamodular.es,,,,,,"Industrial, Prefabricados",,,,,
Prefabix,,info@prefabix.com,🆕 Sin Contactar,,Casas prefabricadas y modulares Andalucía. Servicio toda España. WhatsApp activo.,"PREFABIX - Casas prefabricadas y modulares Andalucía (Málaga). Tel/WhatsApp: +34 683 498 388. Email: mailto:info@prefabix.com. Web: http://prefabix.com. Servicio toda España. Redes verificadas: Instagram, TikTok, Facebook. WhatsApp directo desde web. Formulario presupuesto activo. Google Maps link disponible. Target: Clientes buscando casas prefabricadas Andalucía con atención rápida WhatsApp.",✅ Buena,⭐ Media,Málaga,⭐⭐⭐ Buen Fit,🏠 Micro (<5 empleados),683 498 388,Andalucía (Málaga),prefabix.com,,,,https://www.facebook.com/prefabix/,https://www.instagram.com/prefabix.casasmodulares/,,,,,,
The Concrete Home,10,info@theconcretehome.com,🆕 Sin Contactar,💶 1-5M€,Casas hormigón. 6-8 meses. Muy bien valorada,MADRID. Fundada 2015. 5-9 empleados. Sistema TCH® paneles hormigón. 6-8 meses entrega. 605 seguidores LinkedIn. +30 años experiencia equipo. Oficinas Madrid + Málaga. Excelentes reseñas Google.,🚀 Excelente,⭐ Media,Salamanca,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),910 059 790,Las Rozas Madrid,theconcretehome.com,,,https://es.linkedin.com/company/the-concrete-home-sl,,,"Hormigón, Lujo/Alta Gama, Prefabricados, Residencial",,,,,
MR Módulos,,info@mrmodulos.es,🆕 Sin Contactar,,+20 años experiencia. Construcción metálica modular,,,⭐ Media,Córdoba,,,,"Huarte, Navarra",mrmodulos.es,,,,,,,,,,,
Arcitur Homes,,infoventas@arciturhomes.com,🆕 Sin Contactar,,Casas modulares llave en mano. Adaptadas a Castilla-La Mancha,"ARCITUR HOMES - Empresa CASAS MODULARES Y PREFABRICADAS Barcelona. Web: http://arciturhomes.com. Email: mailto:infoventas@arciturhomes.com. RRSS: Instagram, Facebook, TikTok, LinkedIn, Twitter. Construcción rápida 70% menos tiempo. Proceso industrializado control fábrica. Personalización total diseños únicos. Alta eficiencia energética materiales última generación. Aislamiento térmico acústico superior. Vivienda sostenible asequible excelente calidad-precio. Target: Clientes Barcelona área metropolitana.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),,Barcelona,arciturhomes.com,,,,,,,,,,,
Modular Home,,barcelona@modularhome.es,🆕 Sin Contactar,,Delegación Barcelona. Sistema MH. Prefabricación abierta,"MODULAR HOME - EMPRESA construcción modular HORMIGÓN sistema propio MH System. Visión ingeniería y altos conocimientos construcción. Sistema constructivo paneles portantes hormigón DOBLE FUNCIÓN: estructural + cerramiento. Reduce plazos ejecución. Control calidad 360º durante todo proceso. Trazabilidad producto. Servicio integral diseño-fabricación-montaje. Target: Viviendas unifamiliares y edificios prefabricados altura. Proyectos adaptados 100% cliente. Inercia térmica + resistencia térmica = máxima eficiencia energética. Fachada hormigón con aislamiento. También promociones plurifamiliares. Gestión inmobiliaria para promotores (estudio costes, tiempos, rentabilidad). Delegaciones: Barcelona, Madrid, Valencia, Alicante, Murcia, Baleares, Toledo, Málaga.",✅ Buena,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),900 102 368,"Sabadell, Barcelona",modularhome.es,,,,,,,,,,,
M2H ModuHabitat,,m2hmoduhabitat@gmail.com,🆕 Sin Contactar,,Módulos habitables,"M2H MODUHABITAT - Muy POCA información disponible. Única referencia: Post Facebook 2018 mencionando 'casa modular Mini' para empezar construir nueva vivienda. Email contacto: mailto:m2hmoduhabitat@gmail.com. ⚠️ ALERTA: Presencia digital prácticamente INEXISTENTE. No se encontró web funcional, información corporativa, proyectos, ni actividad reciente. Posible empresa: Inactiva, En fase muy inicial desarrollo, O simplemente con presencia online muy limitada. REQUIERE verificación adicional si empresa sigue operativa. Sin datos sobre: ubicación exacta, tipo construcción, materiales, experiencia, proyectos realizados. Estado empresa: INCIERTO.",❌ Pobre,💤 Baja,Toledo,❓ Por Evaluar,🏠 Micro (<5 empleados),627 435 460,"Sonseca, Toledo",m2hmoduhabitat.es,,,,,,,,,,,
The Concrete Home,,info@theconcretehome.com,🆕 Sin Contactar,,Casas prefabricadas hormigón. 6-8 meses. Muy bien valorada,,,⭐ Media,Córdoba,,,910 059 790,Las Rozas Madrid,theconcretehome.com,,,,,,,,,,,
Panelman,,,🆕 Sin Contactar,,Fabricación prefabricados hormigón. Empresa local Córdoba,,,🔥 Alta,Córdoba,,,659 943 831,Córdoba y alrededores,panelman.es,,,,,,,,,,,
Casas Carbonell,40,info@casascarbonell.com,🆕 Sin Contactar,❓ Desconocida,Operan en Toledo. Casas modulares y de madera,"EMPRESA 40+ años (según web). Bétera, Valencia. Multi-producto: casas de madera, modulares transportables, casas móviles y contenedores. Contacto verificado en web oficial: Tel. 698 548 180, WhatsApp 623 219 745, email mailto:info@casascarbonell.com. Redes oficiales enlazadas desde la web: Facebook, Instagram, X y YouTube.",⚠️ Regular,⭐ Media,Valencia,⭐⭐ Fit Medio,🏪 Pequeña (5-20 empleados),698 548 180,"Bétera, Valencia",casascarbonell.com,,,No encontrado,https://www.facebook.com/profile.php?id=100063817532791,https://www.instagram.com/casas_carbonell/,"Madera, Prefabricados, Sostenible/Eco",,,https://www.youtube.com/user/CasasMaderaCarbonell,https://www.twitter.com/casascarbonell,
Creativa Modular,10,info@creativamodular.es,🆕 Sin Contactar,💴 <1M€,Diseño y fabricación. Empresa LOCAL Sevilla,LOCAL SEVILLA. Construcción modular. Empresa local con potencial crecimiento.,✅ Buena,🔥 Alta,Sevilla,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),955 31 31 00,"Bollullos de la Mitación, Sevilla",creativamodular.es,,,,,,"Prefabricados, Residencial",,,,,
Xpanel Building,,info@xpanelbuilding.com,🆕 Sin Contactar,,Construcción modular con paneles de hormigón ligero. 50% más rápido,,,⭐ Media,Barcelona,,,678 432 912,"Sant Celoni, Barcelona",xpanelbuilding.com,,,,,,,,,,,
Zálima Living,,hola@zalimaliving.com,🆕 Sin Contactar,,Casas modulares lujo a medida. 4-6 meses. Certificación A+,,,⭐ Media,Córdoba,,,951 87 01 82,España,zalimaliving.com,,,,,,,,,,,
Mmodos,,modulos@mmodos.com,🆕 Sin Contactar,,Casetas y edificios modulares. Asesoramiento personalizado,"MMODOS - Arquitectura modular módulos prefabricados. Sede: MURCIA/Andalucía. ALQUILER y VENTA casetas obra, espacios modulares, módulos prefabricados. Usos: Educativo, sanitario, oficinas, eventos, almacenamiento, áreas trabajo obras, vestuarios, comedores, instalaciones industriales. Construcciones PERSONALIZABLES. Servicios: Oficinas prefabricadas, Casetas obra, Vestuarios prefabricados, WC portátiles, Seguridad, Construcción modular (hoteles ej. Hotel Portmán). Rápida instalación (pocas semanas). Envíos toda Andalucía. Soluciones temporales y permanentes. Casas modulares segunda residencia/campo. Edificios modulares más resistentes que tradicionales. Fabricación, transporte, montaje incluido. Target: Obras construcción, empresas necesitan espacios temporales/permanentes, eventos.",✅ Buena,⭐ Media,Murcia,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),968 58 98 92,Murcia,mmodos.com,,,,,,,,,,,
GoPrefabricadas,25,info@goprefabricadas.com,🆕 Sin Contactar,,+25 años experiencia europea. Casas madera. Servicio cálido y profesional.,"GOPREFABRICADAS - Sede Barcelona, España. Tel/WhatsApp: +34 683 18 61 50. Email: mailto:info@goprefabricadas.com. +25 años experiencia construcción casas prefabricadas. Calidad certificada europea. Diseños personalizables. Especializados casas prefabricadas MADERA. Web moderna con formulario contacto y WhatsApp directo. Servicios: construcción sostenible, materiales primera línea, durabilidad y resistencia garantizadas. Target: Clientes buscando casas prefabricadas madera con experiencia europea.",✅ Buena,⭐ Media,Barcelona,⭐⭐⭐⭐ Muy Buen Fit,🏠 Micro (<5 empleados),683 186 150,Barcelona,goprefabricadas.com,,,,,,,,,,,
The Concrete Home,,info@theconcretehome.com,🆕 Sin Contactar,,Hormigón. 6-8 meses. Muy bien valorada,,,⭐ Media,Sevilla,,,910 059 790,Las Rozas Madrid,theconcretehome.com,,,,,,,,,,,
Cabisuar Alicante,32,comercial@cabisuaralicante.com,🆕 Sin Contactar,,Construcción modular. Presupuestos personalizados,"CABISUAR ALICANTE - Delegación de Cabisuar. En la web oficial aparecen enlaces a redes corporativas: Facebook, Instagram y LinkedIn (en la página de contacto).",⚠️ Regular,⭐ Media,Alicante,⭐⭐⭐ Buen Fit,🏠 Micro (<5 empleados),965 115 548,Alicante,cabisuar.com,,,https://www.linkedin.com/company/construcciones-modulares-cabisuar,https://www.facebook.com/socialmediacabisuar,https://www.instagram.com/construccionescabisuar,,,,,,
DOMU ApS,,projekt@domu.dk,🆕 Sin Contactar,,Entrega directa a obra. Sistema modular eficiente,DOMU ApS - LinkedIn oficial: http://linkedin.com/company/domu-as. Web oficial: http://domu.dk. Email: mailto:projekt@domu.dk. Tel: +45 44 12 76 07. (No se encontraron links a Instagram/Facebook/YouTube desde la web).,,⭐ Media,Dinamarca,,,44 12 76 07,5492 Vissenbjerg,domu.dk,,,https://linkedin.com/company/domu-as,,,,,,,,
Tobelem,40,comercial@tobelem.net,🆕 Sin Contactar,,+40 años experiencia construcción modular,"D.TOBELEM (delegación Málaga) - Empresa construcción modular a medida. +40 años experiencia. Sede central: Cártama, Málaga. Tel: 649 977 201, 952 32 52 00. Email: mailto:comercial@tobelem.net. ALQUILER y VENTA módulos prefabricados. Productos: Casetas obra, oficinas modulares prefabricadas, contenedores marítimos. Fabricación a medida. Target: Sector construcción Málaga y Andalucía.",✅ Buena,⭐ Media,Málaga,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),649 977 201,Málaga,tobelem.pro,,"Alquiler, Pavillones/Obra, Prefabricadas",,,,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
ABC Arquitectura Modular,,,🆕 Sin Contactar,,Construcción industrializada estructura madera. Alquiler y venta módulos prefabricados.,"ABC ARQUITECTURA MODULAR - Sede central Polígono Cap de L'Horta, Pobla de Vallbona (Valencia). +3.000 m² naves industriales con puentes grúa, maquinaria especializada: plegadoras, cizalla, soldadura TIG/MIG, tronzadoras. +26.000 m² campas distintas ubicaciones. Especialistas CONSTRUCCIÓN INDUSTRIALIZADA estructura MADERA. Servicios: Alquiler y venta módulos prefabricados, arquitectura sostenible. Soluciones profesionales: Arquitectos, Ingenieros, Promotores. Sectores: Educación (aulas), Salud, Oficinas prefabricadas, Instalaciones industriales, Vestuarios, Sector salud. Política calidad certificada. Target: Profesionales construcción, promotores, empresas espacios modulares temporales/permanentes. Web: http://abcmodular.com",✅ Buena,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),672 242 007,"Pobla de Vallbona, Valencia",abcmodular.com,,,,,,,,,,,
Premier Green Home,20,hola@premiergreenhome.com,🆕 Sin Contactar,❓ Desconocida,Casas prefabricadas,"EMPRESA 20 AÑOS experiencia construcción modular Valencia. Contacto: Juan Exposito. Oficina: Av. Burjassot 171, Benicalap. MULTI-SISTEMA: hormigón prefab, steel framing acero galvanizado, contenedores marítimos reciclados, panel sándwich. Precios ECONÓMICOS desde 620€/m². Construcción 3-6 meses. Foco B2C consumidor final (30K-200K€). ⚠️ ALERTA: NO presencia digital LinkedIn/Instagram - SEÑAL NEGATIVA para fit ModulorIA. Target LOW-COST con opciones sostenibilidad (paneles solares opcionales). Servicio integral: terreno, permisos, instalación. Sin certificaciones Passivhaus/LEED visibles. Posicionamiento mercado medio-bajo, NO empresas construcción.",❌ Pobre,⭐ Media,Valencia,⭐⭐ Fit Medio,🏪 Pequeña (5-20 empleados),961 163 039,"Burjassot, Valencia",premiergreenhome.com,,,No encontrado,,No encontrado,"Acero/Steel Frame, Contenedores, Hormigón, Prefabricados",,,,,
Modulya,,,🆕 Sin Contactar,,Construcción modular con módulos hormigón. Sistema MODUSS patentado,"MODULYA - Construcción Modular Industrializada. Sede: ALMONTE, HUELVA. Servicio INTEGRAL llave en mano: búsqueda terrenos, diseño, estudio viabilidad económica, fabricación, instalación módulos, amueblamiento, mantenimiento. Varios sistemas modulares complementarios. Fabricación y ensamblaje FÁBRICA innovadora, eficiente, sostenible, segura + montaje obra. Diversidad configuraciones componentes edificatorios según demanda. Nueva visión fabricación modular. Intención desarrollar nueva industria y negocios auxiliares. Target: Proyectos residenciales, comerciales. Fundada años 2000s. Sistema empresarial innovador combinando valores industrialización con flexibilidad montaje.",⚠️ Regular,⭐ Media,Barcelona,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),959 406 664,"Almonte, Huelva",modulya.com,,,,,,,,,,,
AM Prefabricadas,,info@amprefabricadas.com,🆕 Sin Contactar,,Diseño y construcción casas modulares minimalistas sostenibles,,,⭐ Media,Barcelona,,,930 48 51 20,Barcelona,amprefabricadas.com,,,,,,,,,,,
RayMetal,15,info@raymetal.es,🆕 Sin Contactar,❓ Desconocida,Construcciones modulares steel frame,"RAYMETAL (Valencia) - Contacto y redes verificados en web oficial: Tel. 961 043 826 (también 695 78 97 23). Dirección: Camí del Port 259, 46470 Catarroja, Valencia. Redes oficiales enlazadas en web: Facebook e Instagram. No se encontró LinkedIn/YouTube desde la web.",⚠️ Regular,⭐ Media,Valencia,⭐⭐ Fit Medio,🏪 Pequeña (5-20 empleados),961 043 826,"Catarroja, Valencia",raymetal.es,,,No encontrado,https://www.facebook.com/raymetalpergolas/,https://www.instagram.com/raymetal_valencia,"Acero/Steel Frame, Prefabricados",,,,,
Remsa Sevilla,40,remsacomercial@remsa.net,🆕 Sin Contactar,💵 5-10M€,12000 módulos. Sede central. Alquiler y venta,LOCAL SEVILLA. +12000 módulos parque. Alquiler modular. Industrial y obras.,✅ Buena,🔥 Alta,Sevilla,⭐⭐⭐ Buen Fit,🏢 Grande (50+ empleados),954 405 021,41016 Sevilla,remsa.net,,,,,,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
Rubik Home,,info@rubikhome.es,🆕 Sin Contactar,,"EXPANSIÓN NACIONAL. 6 sedes: Madrid, Barcelona, Canarias, Andalucía, Baleares, Marruecos. Sistema Thermomak House. Passivhaus.","RUBIK HOME - Casas prefabricadas madera Passivhaus. Tel: 919 958 238. Email: mailto:info@rubikhome.es. Web: http://rubikhome.es. Dirección sede central: C/ Carpinteros 10, Bajo Dcha., 28670 Villaviciosa de Odón (Madrid). Sistema constructivo THERMOMAK HOUSE revolucionario. 6 SEDES verificadas: MADRID (sede central), BARCELONA (Carrer Pere IV 50 Local, 08005), CANARIAS (Polígono Industrial Arinaga, Calle del Herraje 49, 35118 Agüimes, Gran Canaria), ANDALUCÍA, BALEARES, MARRUECOS (expansión internacional). Rápido crecimiento ~3 años. Especialización: viviendas eco-sostenibles, autosuficientes, pasivas, eficientes. Servicios integrales: arquitectura, interiorismo, Home Staging Digital, rehabilitación, consultoría Passivhaus, Test Blower Door, ayudas/subvenciones. Edificación industrializada 20% más económica que tradicional. Redes: Facebook, Instagram, LinkedIn verificadas.",🚀 Excelente,⭐ Media,Toledo,⭐⭐⭐⭐ Muy Buen Fit,🏠 Micro (<5 empleados),919 958 238,"C/ Carpinteros 10, Bajo Dcha., 28670 Villaviciosa de Odón, Madrid",prefabricadascasas.es,,,https://linkedin.com/company/rubik-home,https://facebook.com/rubikhome,https://instagram.com/rubikhome,,,,,,
VT Casas Prefabricadas,,,🆕 Sin Contactar,,Casas prefabricadas hormigón celular. Diseño personalizado,VT CASAS PREFABRICADAS - Casas prefabricadas hormigón celular Barcelona. Tel: 691 740 905. Web: http://cys-vtcasasprefabricadas.com. Diseño personalizado. Sistema constructivo hormigón celular (YTONG). Construcción modular mediante sistemas innovadores y tecnologías avanzadas. Target: Clientes Barcelona buscando casas prefabricadas hormigón celular personalizadas.,✅ Buena,⭐ Media,Barcelona,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),691 740 905,Barcelona,cys-vtcasasprefabricadas.com,,"Modular Hormigón, Prefabricadas",,,,"Hormigón, Prefabricados, Residencial",,,,,
Hormitech,8,,🆕 Sin Contactar,,Casas modulares hormigón. 6-8 meses. Desde 250.000€. Muy bien valorada,"HORMITECH - Contacto y delegaciones verificados en web oficial: Tel. 91 94 91 900. Delegación Madrid: C/ Mahón 10, 1ºB, 28290 Las Rozas. Delegación Málaga: C/ 19, Edif. Banús Guadalmina, portal 1, planta baja, 29670 Marbella. Redes oficiales listadas en su FAQ: YouTube, Instagram, LinkedIn, Facebook y Twitter/X. Nota: en la base figura 'en liquidación desde 2024' (revisar si aplica a la operativa actual).",✅ Buena,💤 Baja,Córdoba,⭐⭐ Fit Medio,🏪 Pequeña (5-20 empleados),91 94 91 900,Madrid/Málaga/Valladolid,hormitech.es,,,https://www.linkedin.com/company/hormitech/,https://www.facebook.com/viviendasmodulareshormitech/,https://www.instagram.com/hormitech/,,,,https://www.youtube.com/c/Hormitech,https://twitter.com/hormitech1,
Hormitech,8,,❌ Descartado,,Casas prefabricadas de hormigón. +3.400 viviendas entregadas. 6-8 meses,"HORMITECH - ⚠️ EMPRESA EN LIQUIDACIÓN desde 2024. Modular Hormitech SA (en Liquidación) CIF A88082953. Fundada 2016. Última ubicación: C/ Mahón 10, 1ºB, Las Rozas Madrid 28290. ANTES: Especialistas CONSTRUCCIÓN VIVIENDAS INDUSTRIALIZADAS HORMIGÓN. Sistema HT Panel One: Paneles hormigón prefabricados con aislamiento. Inercia térmica + resistencia térmica = máxima eficiencia energética. Diseños vanguardistas formas puras rectas. Casas modulares prefabricadas hormigón acabado interior personalizable. 18 empleados antes liquidación. Operaba España, Andorra, Argentina, Portugal, Chile. 2020: Reorganización negocio tras iniciar liquidación. ⚠️ NO OPERATIVA ACTUALMENTE. Estado BORME: Última modificación 05/12/2024. NO contactar - empresa NO viable.",⚠️ Regular,💤 Baja,Madrid,,🏪 Pequeña (5-20 empleados),919 491 900,Las Rozas / Málaga,hormitech.es,,,,,,,,,,,
Conrum,,info@conrum.com,🆕 Sin Contactar,,Más de 70 años experiencia. Construcción modular flexible. Certificación Nordic Swan. 300M DKK facturación,"CONRUM - Búsqueda dio resultado CONURMA (empresa diferente). CONURMA Ingenieros Consultores: empresa CONSULTORÍA ingeniería civil, urbanismo, arquitectura, medioambiente, gestión proyectos. NO construcción modular directa. Fundada 1994. 142 empleados. Sede: Madrid. Presencia: Perú, Colombia, Arabia Saudita. Líder consultoría campos: Ingeniería Civil, Urbanismo, Arquitectura, Estructuras, Medio Ambiente, Project Management, Servicios Especializados. ⚠️ NOTA: No se encontró información clara sobre CONRUM construcción modular. Posible error en nombre o empresa diferente. Requiere verificación adicional sobre si CONRUM existe como empresa construcción modular o si hay confusión con CONURMA consultora.",❓ Sin Evaluar,💤 Baja,Dinamarca,❓ Por Evaluar,❓ Desconocido,+45 75 86 96 11,Fredericia,conrum.com,,,,,,,,,,,
Tobelem,40,comercial@tobelem.net,🆕 Sin Contactar,,Delegación Cártama. Opera en Sevilla,"D.TOBELEM (delegación Sevilla) - Empresa construcción modular a medida. +40 años experiencia. Sede central: Cártama, Málaga. Tel: 649 977 201, 952 32 52 00. Email: mailto:comercial@tobelem.net. ALQUILER y VENTA módulos prefabricados Sevilla. Target: Sector construcción Sevilla y Andalucía.",✅ Buena,⭐ Media,Sevilla,⭐⭐⭐ Buen Fit,🏬 Mediana (20-50 empleados),649 977 201,"Cártama, Málaga",tobelem.pro,,"Alquiler, Pavillones/Obra, Prefabricadas",,,,"Alquiler, Industrial, Prefabricados, Temporal",,,,,
Portable Home,,hola@portablehome.es,🆕 Sin Contactar,,Casas prefabricadas y móviles,"PORTABLE HOME - Casas prefabricadas y móviles en Málaga. Sede: Málaga. Tel: 952 61 58 58. Email: mailto:hola@portablehome.es. Modelos desde 1 hasta 3 habitaciones. Precios desde 33.995,50€ + IVA (1 hab, 8,4x3,4m) hasta 97.130€ + IVA (3 hab, 9x8m). Diseño inteligente, calidad duradera. Catálogo variado con múltiples configuraciones. Target: Clientes Málaga buscando casas móviles/prefabricadas económicas.",✅ Buena,⭐ Media,Málaga,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),952 61 58 58,Málaga,portablehome.es,,"Contenedores, Prefabricadas",,,,"Prefabricados, Residencial",,,,,
Modular Home Baleares,,info@modularhome.es,🆕 Sin Contactar,,DELEGACIÓN BALEARES de Modular Home. Casas hormigón industrializadas. Red franquicia nacional.,"MODULAR HOME BALEARES - DELEGACIÓN BALEARES de franquicia nacional Modular Home. Tel: 900 102 368. Email: mailto:info@modularhome.es. Web: http://modularhome.es. Parte de RED DELEGACIONES toda España. Sistema constructivo industrializado HORMIGÓN. Viviendas 100% personalizables. Target: Clientes Islas Baleares (Mallorca, Menorca, Ibiza, Formentera).",🚀 Excelente,🔥 Alta,Baleares,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),900 102 368,España,modularhome.es,,,,,,,,,,,
Qcasa,,informacion@qcasa.net,🆕 Sin Contactar,,Casas prefabricadas de hormigón. Diseño personalizado,"QCASA - Empresa CÁCERES especializada CASAS PREFABRICADAS HORMIGÓN. Tel: 927 205 015. Email: mailto:informacion@qcasa.net. Web: http://qcasa.net. Ubicación: Torreorgaz, Cáceres. Diseño personalizado viviendas prefabricadas hormigón. Sistema constructivo hormigón armado prefabricado. Target: Clientes Extremadura/Castilla buscando casas hormigón personalizadas.",✅ Buena,⭐ Media,Toledo,⭐⭐⭐ Buen Fit,,927 205 015,"Torreorgaz, Cáceres",qcasa.net,,,,,,,,,,,
Casas Mayagar,20,,🆕 Sin Contactar,,20 años experiencia. Sevilla,CASAS MAYAGAR - Empresa SEVILLA especializada CASAS PREFABRICADAS. +20 años experiencia sector construcción prefabricada. Tel: 655 501 774 / 954 686 040. Ubicación: Sevilla. Amplia trayectoria diseño y construcción viviendas prefabricadas. Target: Clientes Sevilla/Andalucía buscando casas prefabricadas con experiencia local.,✅ Buena,⭐ Media,Sevilla,⭐⭐⭐ Buen Fit,,655 501 774,Sevilla,casasprefabricadasmayagar.es,,,,,,,,,,,
Algeco Baleares,50,,🆕 Sin Contactar,,+30 años. Líder construcción modular. Llave en mano,"ALGECO Baleares - Datos verificados en la web oficial de ALGECO (delegación Islas Baleares): dirección Pol. Ind. Son Bugadellas, C/ Mar Mediterránea 31, 07180 Santa Ponsa Calvià. Tel. +34 971 457 312. Fax +34 971 457 450. Redes corporativas (Algeco España): Instagram y LinkedIn.",🚀 Excelente,💤 Baja,Baleares,⭐⭐ Fit Medio,🏢 Grande (50+ empleados),971 457 312,"Santa Ponsa Calvià, Baleares",algeco.es,,,https://linkedin.com/company/algeco-spain,,https://instagram.com/algeco_spain,,,,,,
